Product Name,avg_days_between_orders,total_sales,total_profit,avg_margin
"""While you Were Out"" Message Book, One Form per Page",35.5,25.228,10.388,0.4166666666666667
"#10 Gummed Flap White Envelopes, 100/Box",242.66666666666666,41.3,16.7678,0.3925
#10 Self-Seal White Envelopes,173.66666666666666,108.68200000000002,52.123,0.458125
"#10 White Business Envelopes,4 1/8 x 9 1/2",167.5,488.904,223.14079999999998,0.4321428571428571
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",143.0,286.672,115.28059999999999,0.417
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",161.28571428571428,146.688,64.86359999999999,0.44218749999999996
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",490.0,176.288,63.747,0.38125
#6 3/4 Gummed Flap White Envelopes,254.66666666666666,71.28,24.947999999999997,0.35
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",252.6,2706.08,578.6848,0.2091666666666667
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",369.0,49.980000000000004,22.7115,0.40374999999999994
12 Colored Short Pencils,647.5,18.2,3.016,0.14833333333333332
12-1/2 Diameter Round Wall Clock,146.71428571428572,551.448,91.1088,-0.039999999999999994
14-7/8 x 11 Blue Bar Computer Printout Paper,158.66666666666666,422.752,172.94400000000002,0.41500000000000004
2300 Heavy-Duty Transfer File Systems by Perma,422.3333333333333,344.724,20.9832,0.08875
"24 Capacity Maxi Data Binder Racks, Pearl",350.0,3537.24,536.9024999999999,0.15625
24-Hour Round Wall Clock,246.6,487.512,180.0198,0.3825
3-ring staple pack,283.8,42.111999999999995,16.694399999999998,0.41500000000000004
3.6 Cubic Foot Counter Height Office Refrigerator,342.5,2946.2,-872.0751999999999,-1.484
36X48 HARDFLOOR CHAIRMAT,189.2,369.248,-40.4914,-0.4337500000000001
"3D Systems Cube Printer, 2nd Generation, Magenta",537.0,14299.89,3717.9714000000004,0.26
"3D Systems Cube Printer, 2nd Generation, White",1169.0,2339.982,-467.9964,-0.16999999999999998
3M Hangers With Command Adhesive,186.57142857142858,108.04,36.001,0.24406250000000002
3M Office Air Cleaner,594.0,259.8,90.93,0.35
3M Organizer Strips,181.66666666666666,83.16,10.151999999999997,-0.09571428571428574
3M Polarizing Light Filter Sleeves,204.33333333333334,216.34,75.346,0.22375
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",389.6666666666667,2191.68,569.8368,0.26
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,121.0,303.36,-20.476799999999997,-0.258125
4009 Highlighters,1324.0,8.04,2.7336,0.34
4009 Highlighters by Sanford,198.0,171.14,53.8096,0.288125
50 Colored Long Pencils,219.5,138.176,32.9184,0.223
"6"" Cubicle Wall Clock, Black",153.66666666666666,124.586,26.211599999999997,0.08000000000000002
9-3/4 Diameter Round Wall Clock,175.42857142857142,455.07,183.1312,0.38375
"ACCOHIDE 3-Ring Binder, Blue, 1""",102.41666666666667,147.028,50.7164,0.303525641025641
ACCOHIDE Binder by Acco,417.6666666666667,65.254,19.287100000000002,0.12770833333333337
APC 7 Outlet Network SurgeArrest Surge Protector,148.71428571428572,1207.2,80.47999999999999,-0.421875
